algo 1                  algo 2
nb_objet,nb_sac,temps,evaluation    nb_objet,nb_sac,temps,evaluation
20,20,9.8815221,264		20,20,0.7272654,264

30,20,6.6252502,465		30,20,1.1168359,453

40,20,16.8717793,435		40,20,1.4965881,426

50,20,6.048566,495		50,20,1.1896445,487

60,20,8.4974802,497		60,20,1.4294839,489

70,20,11.0666258,530		70,20,1.8229679,543

80,20,17.7206684,473		80,20,1.923234,505

90,20,10.8664733,504		90,20,2.1149885,513

100,20,8.7552879,469		100,20,2.4643983,390

